Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,10093.13,34.75,16.01,1.96,1.91,5.56,149.75,29,0.17%,4.50%,3.98,1.90%,12.19%,16.40%,17.75%,4.80%,17.40%,51.50%,72.98,72.52,0.60%,2.82%,97.20%,1.86%,2.54%,2.5,4.40%,18.10%,16.60%,1.2,0.2,0.99,1.03,47.90%,9.50%,5.50%,1.65%,11.51%,9.41%,10.23%,73.74%,25.08%,0.65,2.18,1.17%,1.66%,4.89%,6.11%,13.79%,-0.45%,15.57%,-0.45%,75.73%,67.04,0.04%,0.00%,2.2,735.09,0.46,138.35,0.04%,201070,8/14/2014 8:30
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,592439.87,15.98,14.04,1.34,3.33,4.92,15.67,16,1.90%,28.50%,6.19,-10.00%,11.38%,42.40%,11.90%,35.40%,19.60%,6.00%,5987.87,5984.11,0.04%,16.04%,62.50%,0.49%,1.59%,1.91,17.90%,31.20%,25.50%,1.5,1.4,0.24,0.26,38.40%,28.80%,21.60%,-1.93%,4.02%,7.94%,31.48%,44.95%,25.51%,0.89,1.51,1.88%,1.37%,0.36%,3.29%,19.40%,-4.12%,11.50%,-4.12%,59.21%,51.86,0.47%,0.06%,1.9,49787.1,1.96,99.47,0.53%,57650032,7/22/2014 16:30
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1510.45,107.39,136.31,30.25,5.9,2.1,19.14,,2.48%,202.30%,0.33,471.40%,-10.34%,26.00%,3.55%,16.10%,-25.00%,-1.10%,42.62,36.51,1.10%,25.75%,86.10%,2.24%,1.92%,4.51,0.90%,2.60%,4.80%,,,1.49,1.49,64.50%,31.20%,6.80%,1.61%,2.72%,3.84%,7.39%,24.53%,14.25%,0.94,0.47,1.14%,1.34%,1.34%,1.40%,6.78%,-1.03%,4.32%,-1.03%,27.23%,59.62,-0.11%,0.20%,2.1,155.46,0.32,35.47,0.08%,29245,7/29/2014 16:30
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,93.08,,,,465.41,1.99,8.95,,,,-0.09,43.80%,,5.60%,,-34.80%,33.30%,,68.95,57.19,5.36%,,5.90%,123.76%,0.37%,1.32,-15.00%,-15.30%,-11.20%,13.8,13.4,0,0,,,,-5.59%,-2.17%,0.75%,-16.67%,-22.41%,15.38%,0.53,0.05,3.81%,3.59%,2.32%,3.55%,7.24%,-6.92%,16.54%,-23.71%,46.53%,55.11,2.07%,7.41%,,160.06,10.45,1.48,9.63%,988537,
AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,1010.1,,,,4.48,1.09,160.33,,,,-0.13,95.90%,65.20%,64.70%,,-16.60%,-233.30%,43.20%,170.05,168.09,0.25%,,58.00%,3.98%,0.13%,0.53,-4.60%,-7.10%,0.20%,0.2,0.2,0.08,0.17,80.30%,27.60%,-30.50%,-4.65%,10.82%,-6.90%,46.67%,67.32%,36.87%,1.79,0.19,2.67%,3.64%,1.24%,-0.58%,13.44%,-15.41%,11.71%,-19.50%,67.72%,48.23,-2.02%,0.00%,2,412.11,0.99,5.82,-2.02%,241319,3/16/2011
AAVL,"Avalanche Biotechnologies, Inc.",Healthcare,Biotechnology,USA,681.16,,,,3405.78,,3405.78,,,,-0.32,-212.50%,-34.80%,0.00%,,,,-90.00%,22.26,11.28,29.60%,,18.70%,,0.72%,0.21,,165.70%,62.20%,0.5,0.5,,,,,,4.54%,26.19%,,,,9.32%,,2.18,5.80%,7.89%,10.96%,12.85%,12.85%,-4.79%,40.14%,-4.79%,40.14%,,-0.23%,0.98%,1.5,381.66,0.3,30.83,0.75%,67673,
AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",USA,856.31,9.36,9.64,,0.5,0.63,2.99,,,0.00%,3.62,-25.20%,6.58%,4.30%,-2.50%,0.60%,50.00%,9.30%,25.26,24.68,2.20%,-0.36%,99.90%,-1.14%,11.48%,12.29,2.30%,6.90%,5.20%,1.1,1.1,1.38,1.53,68.10%,13.10%,5.30%,1.22%,5.12%,-7.10%,8.10%,-27.98%,-17.62%,1.76,0.95,2.01%,2.54%,2.38%,-1.37%,-4.45%,-9.25%,10.07%,-32.88%,14.79%,53.36,0.23%,0.71%,2.6,230.56,0.62,34.22,0.94%,84791,7/31/2014 8:30
AAXJ,iShares MSCI All Country Asia ex Jpn Idx,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,0.17%,1.49%,7.38%,14.70%,22.06%,10.70%,,0.53,0.53%,0.56%,1.32%,2.73%,10.10%,-0.35%,7.35%,-0.35%,22.42%,61.9,-0.20%,0.36%,,461.36,1.05,66.34,0.17%,286844,
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2635.17,15.47,13.09,1.98,14.07,1.71,,,6.61%,93.80%,1.76,235.30%,14.22%,-9.30%,7.80%,-7.80%,10.00%,6.80%,96.81,91.23,0.20%,19.06%,28.40%,0.12%,0.87%,2.8,11.00%,11.10%,10.80%,,,0,0,,100.00%,88.70%,-0.73%,4.61%,9.67%,16.52%,49.72%,35.02%,1.32,0.69,1.82%,2.44%,2.86%,3.67%,14.99%,-2.30%,11.93%,-2.30%,50.24%,58.79,-0.07%,-0.11%,2.6,284.85,0.65,27.17,-0.18%,109246,7/30/2014 8:30
ABAC,"Aoxin Tianli Group, Inc.",Consumer Goods,Meat Products,China,35.97,,,,1.01,0.48,1.84,19.98,,,-0.13,-800.00%,,-21.50%,,35.90%,400.00%,31.10%,21.16,9.73,26.50%,86.45%,0.80%,21.54%,0.14%,0.39,-2.70%,-3.40%,-4.60%,2.9,2,0,0.16,10.40%,-0.60%,-4.20%,-12.82%,-14.57%,-22.37%,-14.14%,115.19%,-22.02%,2.56,0.12,7.40%,6.34%,-16.43%,-19.47%,-19.61%,-28.63%,3.18%,-34.41%,116.00%,30.46,-4.71%,0.00%,,35.02,0.77,1.62,-4.71%,16029,
ABAX,"Abaxis, Inc.",Healthcare,Medical Laboratories & Research,USA,1094.47,70.43,40.81,3.52,6.21,5.52,10.21,43.43,0.82%,14.30%,0.69,-48.80%,25.37%,3.10%,20.00%,10.20%,50.00%,10.00%,22.52,21.22,5.90%,7.88%,97.20%,-0.70%,11.83%,14.42,7.20%,8.20%,6.70%,7.4,6.3,0,0,48.90%,13.40%,8.90%,2.86%,2.64%,17.02%,25.55%,24.36%,22.02%,0.98,1.1,1.81%,2.23%,4.60%,7.45%,18.50%,-0.55%,16.97%,-0.55%,51.81%,67.12,-0.10%,-0.06%,2.6,173.99,0.23,48.52,-0.16%,23468,7/24/2014 16:30
ABB,ABB Ltd.,Industrial Goods,Diversified Machinery,Switzerland,53962.01,21.01,15.57,1.81,1.3,3.02,9.13,42.79,3.30%,71.10%,1.11,4.20%,17.67%,-2.10%,11.60%,3.70%,-15.20%,-0.30%,2313.98,2291.83,,,3.80%,-3.91%,0.15%,2.28,5.30%,13.90%,12.20%,1.6,1.2,0.43,0.5,28.20%,10.50%,6.10%,1.52%,2.15%,-0.38%,-6.38%,11.69%,-9.26%,1.4,0.25,0.70%,0.80%,2.08%,1.13%,-3.40%,-3.97%,4.46%,-12.04%,9.92%,58.47,-0.51%,-0.04%,3,1551.86,0.6,23.19,-0.56%,548188,2/17/2011
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,88400.23,21.43,14.33,2.32,4.59,16.98,8.63,39.71,3.03%,61.80%,2.59,-23.10%,22.74%,0.00%,9.23%,,3.00%,5.00%,1592.51,1574.71,0.10%,10.09%,80.70%,15.94%,5.35%,8.05,14.50%,92.70%,23.20%,2.8,2.7,2.77,2.83,76.40%,31.20%,21.70%,-0.43%,4.17%,2.47%,9.14%,34.77%,7.70%,,0.75,0.98%,1.38%,1.83%,1.68%,7.68%,-4.14%,7.91%,-4.14%,34.56%,56.46,0.14%,-0.27%,1.8,10463.43,0.83,55.44,-0.14%,5156658,7/25/2014 8:30
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,17358.04,69.07,17.67,4.61,0.15,8.79,13.76,135.5,1.22%,81.70%,1.12,-29.10%,12.20%,7.80%,14.97%,4.60%,-122.20%,38.50%,224.38,212.44,0.20%,1.82%,86.20%,0.07%,3.28%,5.08,1.30%,11.90%,15.30%,1,0.5,1,1,2.40%,0.60%,0.20%,0.83%,-0.25%,5.35%,13.03%,36.63%,11.13%,0.67,0.8,0.92%,0.99%,1.07%,3.01%,10.87%,-2.08%,7.74%,-2.08%,36.22%,60.6,-0.10%,-0.05%,2.1,1372.42,0.45,77.24,-0.16%,366571,7/24/2014 8:30
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,611.28,24.58,11.48,3.07,4.37,1.68,4.47,17.87,0.87%,10.60%,0.93,63.00%,23.73%,34.60%,8.00%,-0.40%,23.10%,20.60%,26.74,24.08,2.00%,2.89%,63.00%,1.15%,3.37%,11.06,0.70%,7.90%,25.50%,,,0.31,0.31,,32.00%,16.80%,-4.07%,5.74%,9.01%,7.88%,18.94%,8.55%,1.13,0.48,2.10%,1.98%,0.84%,4.13%,7.12%,-5.69%,10.85%,-5.69%,30.83%,53.75,-0.22%,0.26%,2,73.41,0.29,22.87,0.04%,12430,10/25/2013
ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,74.07,,,,0.52,,2.49,35.27,,,-0.29,88.90%,,38.40%,,8.60%,-400.00%,-15.40%,44.89,13.16,0.10%,-2.77%,11.00%,-2.70%,0.05%,0.28,-6.80%,21.00%,3.20%,1.1,0.9,,,58.60%,4.00%,-9.40%,0.00%,-14.06%,-25.00%,-16.24%,0.00%,-0.60%,1,0.1,3.90%,5.45%,-6.46%,-13.68%,-16.68%,-27.56%,4.49%,-35.83%,30.40%,35.8,-1.21%,0.00%,2,25.15,5.71,1.63,-1.21%,84807,11/7/2013 16:30
ABCO,The Advisory Board Company,Services,Business Services,USA,1756.56,100.81,32.5,6.58,3.26,5.49,40.38,55.24,,0.00%,0.48,4.70%,20.37%,0.30%,15.32%,18.50%,-190.00%,15.10%,36.3,36,0.80%,32.97%,96.80%,-1.84%,9.08%,13.65,2.10%,6.70%,8.30%,1,1,0,0,47.90%,8.60%,4.00%,-3.45%,3.20%,-4.58%,-27.55%,-13.90%,-24.00%,-0.18,1.23,2.47%,2.23%,-2.32%,-3.56%,-15.46%,-12.15%,4.62%,-31.24%,4.62%,42.05,-0.19%,0.43%,1.9,239.38,0.7,48.51,0.25%,98717,7/31/2014 16:30
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,2184.18,18.85,15.18,1.17,0.39,4.13,312.03,280.02,,0.00%,3.82,23.10%,10.64%,18.30%,16.15%,6.80%,36.80%,11.90%,30.34,29.85,0.80%,-29.18%,99.50%,-1.02%,5.28%,6.96,6.20%,23.40%,9.10%,1.3,0.4,1.02,2.19,16.40%,4.80%,2.10%,3.21%,4.82%,9.32%,36.29%,46.65%,33.96%,1.68,1.3,1.52%,1.93%,3.98%,3.60%,22.54%,-1.77%,10.68%,-1.77%,59.02%,63.83,-0.01%,0.10%,2.3,226.35,1.31,72.05,0.08%,175023,7/22/2014 8:30
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,27.93,,,,,1.45,1.44,,,,-0.59,46.40%,,63.20%,,,83.10%,,21,17.46,1.50%,21.26%,13.30%,7.38%,15.86%,17.27,-47.40%,-50.30%,,16.4,16.4,0,0,,,,-6.99%,-6.99%,-8.28%,-29.26%,0.00%,-20.83%,2.31,0.05,3.83%,3.62%,-0.47%,-3.77%,-15.93%,-16.97%,4.58%,-46.06%,15.13%,46.15,3.01%,0.00%,2,160.3,0.64,1.37,3.01%,60210,12/3/2013
ABM,ABM Industries Incorporated,Services,Business Services,USA,1487.92,21.96,14.7,2.52,0.3,1.58,39.47,24.97,2.33%,49.20%,1.21,14.00%,13.00%,4.80%,8.70%,5.80%,-22.90%,4.90%,56,50.64,1.80%,2.44%,85.20%,-1.86%,2.37%,5.7,3.20%,7.50%,6.40%,1.8,1.8,0.35,0.35,10.20%,2.40%,1.40%,0.26%,7.53%,0.80%,-4.53%,10.48%,-6.01%,0.95,0.41,1.39%,1.58%,8.96%,9.19%,4.80%,2.88%,16.60%,-3.19%,17.90%,78.17,0.86%,5.38%,2.3,210.15,2.58,28.24,6.29%,319908,9/3/2014 16:30
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,1026.87,149.29,52.77,6.94,5.41,5.97,11.78,42.43,,0.00%,0.17,-51.40%,294.26%,17.10%,21.50%,20.20%,0.00%,14.30%,40.46,39.79,3.20%,7.03%,99.70%,11.60%,20.64%,33.57,3.80%,4.60%,4.20%,4.4,3.9,0,0,79.80%,4.30%,3.90%,-1.59%,0.32%,10.78%,-12.93%,5.71%,-5.09%,1.69,0.61,2.09%,2.25%,-0.21%,0.22%,-1.36%,-5.72%,10.39%,-17.45%,39.94%,49.29,-0.47%,0.55%,2,244.64,0.52,25.4,0.08%,75671,7/31/2014 8:30
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,USA,350.77,22.42,14.79,,2.68,0.91,10.73,219.23,7.48%,78.00%,0.31,-34.40%,2.17%,16.10%,,-8.70%,-40.00%,5.20%,50.47,38.62,3.30%,14.27%,58.70%,1.53%,0.20%,0.65,1.20%,6.20%,1.30%,,,3.19,3.34,59.80%,16.70%,17.20%,-0.14%,1.16%,-2.11%,5.46%,7.25%,10.32%,1.23,0.08,0.83%,1.07%,0.30%,0.85%,4.03%,-2.92%,4.67%,-3.19%,19.65%,53.79,0.00%,0.00%,2.3,121.47,0.6,6.95,0.00%,42864,8/1/2014 8:30
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,64298.21,30.76,17.35,2.9,2.95,2.73,9.1,54.68,2.06%,46.50%,1.39,319.40%,10.59%,-13.00%,10.60%,-5.80%,0.00%,1.90%,1503.7,1500.64,0.20%,0.50%,69.20%,-0.02%,0.79%,2.4,5.60%,10.00%,8.00%,1.9,1.6,0.14,0.29,54.30%,12.80%,11.00%,-0.09%,0.87%,8.14%,8.69%,32.63%,13.45%,0.63,0.5,0.93%,1.17%,1.99%,2.66%,9.98%,-0.53%,7.62%,-0.53%,34.21%,61.95,0.56%,0.09%,2.3,4931.76,0.61,43.04,0.65%,1783028,7/16/2014 8:30
ABTL,Autobytel Inc.,Technology,Internet Information Providers,USA,74.05,2.44,16.76,0.1,0.78,1.09,3.61,13.71,,0.00%,3.37,7.40%,68.97%,18.90%,25.00%,1.90%,-12.50%,-28.10%,9.02,8.9,8.62%,0.43%,63.60%,2.87%,2.87%,1.98,45.10%,67.90%,51.30%,2.7,2.7,0.28,0.28,39.20%,4.40%,40.70%,-2.26%,0.86%,-37.52%,-44.90%,35.93%,-45.74%,0.99,0.36,2.31%,3.18%,-0.42%,-20.67%,-35.25%,-38.42%,5.70%,-55.63%,38.02%,32.66,1.09%,0.61%,2.3,128.9,0.41,8.35,1.71%,31350,7/31/2014 16:30
ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,20663.49,,15.04,,1.88,1.56,8.11,,1.13%,,-2.58,-69.70%,56.08%,-63.10%,,10.40%,97.10%,-24.00%,1164.14,1161.33,,,72.10%,-2.21%,1.24%,1.66,-7.40%,-21.00%,-35.80%,2.9,1.7,0.98,0.99,37.30%,26.40%,-25.90%,-2.47%,-1.39%,11.78%,-12.39%,-7.98%,1.54%,0.23,0.35,1.62%,1.62%,-5.75%,-5.63%,-3.32%,-10.38%,-0.52%,-18.13%,15.11%,34.11,-2.41%,0.56%,2.9,8681.91,0.73,17.42,-1.86%,3728576,2/17/2011 8:30
ABY,Abengoa Yield plc,Utilities,Electric Utilities,United Kingdom,3208,,35.52,,13.23,2.26,3.29,,,,-0.32,-300.00%,678.62%,0.00%,37.00%,,,,80,79.99,,,33.00%,,0.86%,0.99,-1.20%,-5.40%,2.50%,1.5,1.5,2.46,2.83,92.00%,49.00%,-14.60%,3.89%,9.86%,,,,8.38%,,1.31,3.24%,3.40%,3.47%,1.99%,2.08%,-5.61%,14.20%,-5.61%,14.20%,54.11,-3.15%,-0.40%,1.7,692.41,0.4,38.68,-3.54%,164675,
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2674.94,,,,8916.45,7.37,7.55,,,,-0.67,-15.80%,27.90%,24.00%,20.00%,-7.20%,-100.00%,-93.80%,99.44,99.18,22.95%,2.33%,95.60%,3.78%,16.57%,15.05,-22.10%,-23.00%,-21.00%,38.6,38.6,0,0,,,,12.98%,29.95%,26.89%,-5.78%,31.03%,7.64%,2.65,1.01,4.10%,4.08%,18.35%,22.83%,18.34%,-2.13%,40.97%,-15.37%,73.15%,79.12,0.30%,0.37%,1.9,1092.28,1.33,27.08,0.67%,858175,8/5/2014 16:30
ACAS,"American Capital, Ltd.",Financial,Asset Management,USA,4152.71,44.17,18.45,15.5,10.18,0.78,30.76,26.97,,0.00%,0.35,-82.30%,39.67%,15.30%,2.85%,-14.30%,985.70%,-23.10%,268.61,263.28,1.30%,21.59%,67.90%,0.55%,0.77%,0.76,1.60%,1.90%,3.00%,,,0.15,0.15,89.00%,38.20%,24.30%,-0.58%,0.91%,5.24%,-1.09%,21.92%,-1.15%,1.42,0.21,0.95%,1.34%,0.79%,1.04%,2.13%,-1.59%,4.79%,-5.19%,23.17%,54.78,0.00%,0.39%,2.4,2678.64,0.64,15.52,0.39%,1020175,8/6/2014 16:30
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA,476.49,13.46,13.54,0.84,0.63,2.57,19.61,116.22,1.36%,10.70%,2.74,0.30%,15.48%,49.50%,16.00%,5.30%,-32.50%,18.90%,12.92,12.75,2.10%,18.32%,92.20%,-5.08%,6.16%,3.99,10.90%,19.20%,21.40%,2.1,0.6,0,0,20.30%,7.60%,5.00%,-1.73%,4.30%,6.34%,-23.12%,-30.70%,-34.70%,2.77,0.96,1.95%,2.67%,1.33%,0.33%,-14.97%,-7.55%,8.75%,-38.16%,17.83%,52.86,0.98%,0.43%,2.7,196.86,0.9,37.4,1.41%,104121,7/25/2014 8:30
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,4156.28,70.73,60.2,14.44,5.98,1.61,64.64,,3.84%,131.80%,0.56,-19.20%,15.85%,27.10%,4.90%,23.20%,160.00%,12.30%,104.93,104.34,0.20%,0.96%,99.00%,-2.92%,1.30%,2.36,2.10%,4.40%,2.40%,,,1.13,1.13,50.80%,21.20%,16.70%,0.87%,3.80%,2.54%,7.55%,25.59%,26.83%,0.25,0.46,0.77%,1.20%,2.56%,2.49%,10.26%,-1.40%,6.22%,-1.40%,29.64%,65.18,0.35%,0.05%,1.9,575.78,0.49,39.77,0.40%,165153,7/22/2014 16:30
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,891.33,9.99,9.75,1.14,0.52,1.19,9.66,7.44,,0.00%,0.78,-45.10%,7.83%,16.40%,8.73%,2.30%,125.00%,-2.80%,114.42,113.13,0.90%,50.16%,,0.46%,12.74%,19.13,3.80%,12.90%,8.10%,2,1.2,1.21,1.29,30.60%,10.20%,5.20%,1.43%,19.48%,31.81%,26.87%,17.50%,15.92%,2.22,0.22,2.61%,2.80%,7.43%,16.08%,24.44%,-1.88%,30.55%,-1.88%,42.96%,75.76,0.00%,0.39%,2.3,753.78,0.7,7.82,0.39%,312778,7/30/2014 7:00
